24.15,0,,,0,24.2
20.65,2,,,1,22.52274209
18.53,4,,,2,20.84548419
14.12,6,,,3,19.16822628
10.36,8,,,4,17.49096838
7,10,,,5,15.81371047
3.48,12,,,6,14.13645257
0.56,14,,,7,12.45919466
0,15,,,8,10.78193676
,,,,9,9.10467885
,,,,10,7.42742095
,,,,11,5.75016304
,,,,12,4.07290514
,,,,13,2.39564723
,,,,14,0.71838933
,,,,15,-0.95886858
